mobile_price,mobile_color,dual_sim,disp_size,os,num_cores,mp_speed,int_memory,ram,battery_power,mob_width,mob_height,mob_depth,mob_weight,res_dim_1,res_dim_2,p_cam_max,p_cam_count,f_cam_max,f_cam_count,2G,3G,4G,4GVOLTE,5G
8999,Other,Dual Sim,6.52,Android 10,8,2.0,32,3,5000,75.0,164.4,8.95,195.0,1600,720,12,3,5,1,1,1,1,1,0
8999,Blue,Dual Sim,6.52,Android 10,8,2.0,32,3,5000,75.0,164.4,8.95,195.0,1600,720,12,3,5,1,1,1,1,1,0
9999,Blue,Dual Sim,6.52,Android 10,8,2.0,64,4,5000,75.0,164.4,8.95,195.0,1600,720,12,3,5,1,1,1,1,1,0
9999,Other,Dual Sim,6.52,Android 10,8,2.0,64,4,5000,75.0,164.4,8.95,195.0,1600,720,12,3,5,1,1,1,1,1,0
11999,Other,Dual Sim,6.5,Android 10,8,2.0,128,4,5000,75.4,164.4,9.0,199.0,1600,720,48,4,16,1,1,1,1,1,0
11999,Other,Dual Sim,6.5,Android 10,8,2.0,128,4,5000,75.4,164.4,9.0,199.0,1600,720,48,4,16,1,1,1,1,1,0
14999,Other,Dual Sim,6.3,Android Pie 9,8,2.3,64,6,4035,74.2,157.0,8.9,184.0,2340,1080,48,4,16,1,1,1,0,1,0
16999,Other,Dual Sim,6.3,Android Pie 9,8,2.3,128,8,4035,74.2,157.0,8.9,184.0,2340,1080,48,4,16,1,1,1,0,1,0
16999,Blue,Dual Sim,6.3,Android Pie 9,8,2.3,128,8,4035,74.2,157.0,8.9,184.0,2340,1080,48,4,16,1,1,1,0,1,0
13999,Blue,Dual Sim,6.3,Android Pie 9,8,2.3,64,4,4035,74.2,157.0,8.9,184.0,2340,1080,48,4,16,1,1,1,0,1,0
35999,Other,Dual Sim,6.5,Android Pie 9,8,2.96,256,12,4000,75.7,161.0,8.7,199.0,2400,1080,64,4,16,1,1,1,1,1,0
35999,Blue,Dual Sim,6.5,Android Pie 9,8,2.96,256,12,4000,75.7,161.0,8.7,199.0,2400,1080,64,4,16,1,1,1,1,1,0
31999,Blue,Dual Sim,6.5,Android Pie 9,8,2.96,128,8,4000,75.7,161.0,8.7,199.0,2400,1080,64,4,16,1,1,1,1,1,0
31999,Other,Dual Sim,6.5,Android Pie 9,8,2.96,128,8,4000,75.7,161.0,8.7,199.0,2400,1080,64,4,16,1,1,1,1,1,0
15490,Black,Dual Sim,6.3,Android Oreo 8.1,8,1.95,128,8,3500,74.0,156.7,8.5,174.0,2340,1080,16,2,16,1,1,1,0,1,0
16999,Blue,Dual Sim,6.4,Android Pie 9,8,2.3,64,4,4000,75.16,158.7,8.55,183.0,1080,2340,64,4,16,1,1,1,1,0,0
